Dia,Mes,Hora,Minuto,Segundo,Frase
19,6,18,52,58,"ASSISTIR O DIA SE POR, MEUS CACHORROS DO MEU LADO, AMIGOS, PLANTAS, ACONCHEGO, RIR COM AMIGOS.."
19,6,18,53,55,CASAS BLACK
19,6,18,57,40,O PRIMEIRO SPAGHETTI AO SUGO COM OS AMIGOS!
19,6,19,1,57,CASA BLACKS
19,6,20,6,6,"IDENTIDADE, ACONCHEGO, AMIGOS, AMOR, PREGUIￃﾧA ..."20,6,19,30,25,SEXO
20,6,19,30,32,LOVE
20,6,19,30,38,CERVEJA
20,6,19,33,21,CARINHO E EMOCAO
20,6,19,35,47,AMOR
20,6,19,35,53,FAMILY DOGS LOVE
20,6,19,36,9,CACHORROS
20,6,19,36,12,FAMILY
20,6,19,36,17,SOUL
20,6,19,36,26,SOUL
20,6,19,36,58,WARM BATH
20,6,19,37,20,LOVE
20,6,19,37,40,LOVE
20,6,19,37,43,FRIENDS
20,6,19,38,1,CRIE DA
20,6,19,38,9,FRIENDS
20,6,19,38,25,DOGS
20,6,19,38,35,TENDERNESS AND COMFORT.
20,6,19,44,26,AMOR
20,6,19,47,13,FRIENDS
21,6,12,9,59,LOVE
21,6,12,11,49,LOVE
21,6,14,26,33,ROUPAO
21,6,16,40,34,O CALOR HUMANO
21,6,17,4,34,TESAO
21,6,17,6,32,GOSTOSA

22,6,13,36,25,BRISA BRISA BRISA
22,6,14,20,22,DUDUDUDUDUDUDUDU DUDUDUDUDUDUDUDU
22,6,19,6,22,"AMO MINHA VIDA , MIM AMO."
22,6,22,10,18,"A VIDA NAO TEM COPIAS , POR ISSO PREZERVE A SUA."
22,6,22,10,25,"A VIDA NAO TEM COPIAS , POR ISSO PREZERVE A SUA."
22,6,22,10,31,"A VIDA NAO TEM COPIAS , POR ISSO PREZERVE A SUA."
23,6,9,33,27,A2DPS
23,6,10,0,38,JAH
23,6,10,0,44,JAH
23,6,10,45,55,PAO E CIRCO
23,6,10,55,39,E E E E E E E E
23,6,10,55,50,SPOCK ELITEBURRA
23,6,10,56,2,SPOCK ELITEBURRA
23,6,10,57,33,A A A A A A E E E E E :)
23,6,10,58,1,A A A E E E E :)
23,6,11,23,30,ELITEBURRA
23,6,11,23,37,APASAPASAPASAPAS  APASAPASAPASAPAS
23,6,14,5,50,PAZ
23,6,14,5,57,A HARMONIA DE SEUS MORADORES...
23,6,18,1,13,KBCA
23,6,18,7,4,AMOR E  SEXO
23,6,18,7,16,CARAPRETALA
23,6,19,45,31,SARASARASARASARA     SARASARASARASARA     SARASARASARASARA
23,6,20,11,35,FELICIDADE
23,6,20,15,7,DINHEIRO;>
23,6,20,15,37,VIVER SEM DINHEIRO
23,6,20,16,47,MENTIRA
23,6,20,24,2,NEGORADA
23,6,20,24,36,AMOR
24,6,11,54,22,JUSSARA   JUSSARA       JUSSARA   JUSSARA
24,6,18,11,43,DEBORA   DEBORA        DEBORA   DEBORA
24,6,18,17,26,COCACOLA COCACOLA
24,6,19,54,22,BUMBUM
24,6,19,55,25,BUMBUM
24,6,19,56,18,PEDRO LINDO
24,6,19,56,23,BUMBUM BUMBUM BUMBUM BUMBUM
24,6,19,57,6,"OI, TADEU"
24,6,19,57,30,TUBO BEM TADEU
24,6,19,58,44,BOA NOITE TADEU
24,6,19,59,55,BUMBUM
24,6,20,0,34,BUMBUM BUMBUM BUMBUM BUMBUM BUMBUM BUMBUM BUMBUM
24,6,20,0,44,BUMBUM
24,6,20,2,16,BOA NOITE TADEU TADEU TADEU TADEU TADEU TADEU TADEU TADEU
24,6,20,2,29,TADEU TADEU TADEU TADEU TADEU TADEU TADEU TADEU TADEU TADEU TADEU TADEU TADEU TADEU TADEU TADEU TADEU TADEU TADEU TADEU TADEU TADEU TADEU TADEU TADEU TAD
24,6,20,3,45,TADEU TADEU TADEU TADEU TADEU TADEU TADEU TADEU TADEU TADEU TADEU TADEU TADEU TADEU TADEU TADEU TADEU TADEU TADEU TADEU TADEU TADEU TADEU TADEU TADEU TAD
24,6,20,4,34,TADEU TADEU TADEU TADEU TADEU TADEU TADEU
24,6,20,6,10,ELI
24,6,20,6,26,BUMBUM BUMBUM BUMBUM QUER RESPIRAR
24,6,20,9,1,BELAS ARTES BELAS ARTES BELAS ARTES BELAS ARTES
24,6,20,11,7,BELASARTESBELASARTESBELASARTESBELASARTESBELASARTESBELASARTESBELASARTESBELASARTESBELASARTESBELASARTESBELASARTESBELASARTESBELASARTESBELASARTESBELASARTESBELASARTES
24,6,20,12,18,COCO   COCO   COCO        COCO   COCO   COCO
24,6,20,12,31,BELASARTES BELASARTES BELASARTES BELASARTES BELASARTES BELASARTES BELASARTES BELASARTES
24,6,20,13,40,LOLLY NￃﾣO ESTOU TRABALHANDO
24,6,20,14,11,BELASARTES BELASARTES BELASARTES BELASARTES BELASARTES BELASARTES BELASARTES BELASARTES
24,6,20,18,33,TCHAU
25,6,0,19,2,BOMDIA  BOMDIA         BOMDIA  BOMDIA          BOMDIA  BOMDIA          BOMDIA  BOMDIA
25,6,10,15,1,SACANAGEM
